model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,damaged_q2,tri_equal,medium,1200,0.72,0.5408,0.8408,0.9517,0.1033,0.0667,0.2633,0.4733,0.4518,none
27b,base,damaged_q2,tri_naive_all_fire,extreme,1200,0.6225,0.2167,0.778,0.915,0.1733,0.4033,0.6042,0.4,0.0157,distractor_capture
27b,base,damaged_q2,tri_naive_all_fire,high,1200,0.6775,0.3133,0.8126,0.9275,0.1567,0.3442,0.445,0.3242,0.1457,none
27b,base,damaged_q2,tri_naive_all_fire,low,1200,0.8525,0.5175,0.9178,0.99,0.0883,0.2175,0.2383,0.0658,0.4251,none
27b,base,damaged_q2,tri_naive_all_fire,medium,1200,0.7617,0.4025,0.8626,0.9742,0.1233,0.2992,0.3117,0.2308,0.2692,none
27b,base,damaged_q2,tri_routed_68_20_12,extreme,1200,0.7692,0.415,0.8591,0.9233,0.1508,0.0725,0.51,0.2408,0.3024,none
27b,base,damaged_q2,tri_routed_68_20_12,high,1200,0.8142,0.5458,0.8922,0.9533,0.1283,0.045,0.3417,0.1717,0.4624,none
27b,base,damaged_q2,tri_routed_68_20_12,low,1200,0.9125,0.7425,0.9597,0.9933,0.0517,0.0225,0.18,0.0367,0.7063,none
27b,base,damaged_q2,tri_routed_68_20_12,medium,1200,0.8592,0.6642,0.9275,0.97,0.1042,0.0283,0.2325,0.0833,0.6045,none
27b,base,damaged_q2,tri_routed_72_18_10,extreme,1200,0.795,0.445,0.8752,0.93,0.1392,0.0675,0.4925,0.1817,0.3413,none
27b,base,damaged_q2,tri_routed_72_18_10,high,1200,0.8258,0.5658,0.902,0.9517,0.12,0.0292,0.3575,0.1283,0.489,none
27b,base,damaged_q2,tri_routed_72_18_10,low,1200,0.9058,0.7317,0.9569,0.9917,0.0617,0.0208,0.1817,0.0333,0.6928,none
27b,base,damaged_q2,tri_routed_72_18_10,medium,1200,0.8667,0.6425,0.9317,0.9767,0.1008,0.0367,0.2517,0.0692,0.5813,none
27b,base,damaged_q2,tri_stability_70,extreme,1200,0.7917,0.4183,0.8728,0.9375,0.1383,0.0717,0.5233,0.1958,0.3108,none
27b,base,damaged_q2,tri_stability_70,high,1200,0.8108,0.5758,0.893,0.9442,0.1275,0.035,0.3208,0.1658,0.4966,none
27b,base,damaged_q2,tri_stability_70,low,1200,0.8992,0.7225,0.9541,0.9908,0.0725,0.0217,0.1892,0.0308,0.6797,none
27b,base,damaged_q2,tri_stability_70,medium,1200,0.8825,0.6408,0.9322,0.9725,0.0867,0.03,0.29,0.0708,0.5821,none
27b,base,damaged_q2,tri_structural_65,extreme,1200,0.7808,0.4083,0.8671,0.9375,0.145,0.07,0.5092,0.2217,0.299,none
27b,base,damaged_q2,tri_structural_65,high,1200,0.7942,0.54,0.8777,0.9333,0.115,0.0358,0.3542,0.24,0.458,none
27b,base,damaged_q2,tri_structural_65,low,1200,0.9025,0.7358,0.9551,0.9908,0.0658,0.0217,0.1817,0.035,0.6955,none
27b,base,damaged_q2,tri_structural_65,medium,1200,0.8642,0.64,0.9273,0.9733,0.09,0.0392,0.28,0.0925,0.5781,none
27b,base,damaged_q3,baseline,extreme,1200,0.1892,0.13,0.4629,0.6817,0.21,0.0342,0.4292,2.3183,-0.0901,primitive_gap
27b,base,damaged_q3,baseline,high,1200,0.2517,0.2133,0.5079,0.7075,0.1817,0.015,0.2958,1.8883,0.0378,primitive_gap
