model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
2b_reference,instruct,damaged_q4,q3_routed_tri_68,0.888,0.665,0.9396,0.0896,0.0341,0.2579
2b_reference,instruct,damaged_q4,q3_stability_tri_72,0.9005,0.683,0.9434,0.0791,0.033,0.2466
2b_reference,instruct,damaged_q4,q4_boundary_pair_72_28,0.8425,0.6468,0.9118,0.0939,0.0284,0.242
2b_reference,instruct,damaged_q4,q4_generalist_pair_72_28,0.8561,0.6586,0.921,0.098,0.0193,0.2589
2b_reference,instruct,healthy_q6,q2_amplifier_low_echo,0.9016,0.5216,0.9246,0.0714,0.2786,0.2323
2b_reference,instruct,healthy_q6,q3_routed_tri_68,0.9264,0.7459,0.9569,0.0554,0.0332,0.1859
2b_reference,instruct,healthy_q6,q3_stability_tri_72,0.9339,0.7548,0.9598,0.0514,0.0366,0.1755
2b_reference,instruct,healthy_q6,q4_boundary_pair_72_28,0.9273,0.7529,0.9564,0.0577,0.0279,0.185
2b_reference,instruct,healthy_q6,q4_generalist_pair_72_28,0.925,0.7514,0.9558,0.058,0.0202,0.1888
2b_reference,instruct,healthy_q8,q2_amplifier_low_echo,0.9139,0.5561,0.9331,0.0561,0.2712,0.1971
2b_reference,instruct,healthy_q8,q3_routed_tri_68,0.9429,0.7771,0.9637,0.0409,0.035,0.163
2b_reference,instruct,healthy_q8,q3_stability_tri_72,0.9482,0.7864,0.9656,0.037,0.0296,0.155
2b_reference,instruct,healthy_q8,q4_boundary_pair_72_28,0.9414,0.7841,0.9646,0.0427,0.0241,0.1566
