model,substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,damaged_q3,q2_amplifier_low_echo,rhetoric,560,0.8982,0.5232,0.9275,0.9857,0.0643,0.2732,0.2321,0.0571,0.4279,none
27b,base,damaged_q3,q2_amplifier_low_echo,spatial,560,0.8964,0.575,0.9311,0.9875,0.0714,0.2179,0.2357,0.05,0.4886,none
27b,base,damaged_q3,q3_routed_tri_68,adversarial,560,0.9161,0.6964,0.9516,0.9911,0.0661,0.0464,0.2321,0.05,0.6463,none
27b,base,damaged_q3,q3_routed_tri_68,boundary,560,0.9143,0.6732,0.9489,0.9982,0.0732,0.0607,0.2411,0.0536,0.6171,none
27b,base,damaged_q3,q3_routed_tri_68,coding,560,0.9143,0.7375,0.9524,0.9857,0.075,0.0411,0.1696,0.0446,0.691,none
27b,base,damaged_q3,q3_routed_tri_68,epistemic,560,0.8982,0.7036,0.948,0.9839,0.0768,0.0286,0.2054,0.0446,0.6562,none
27b,base,damaged_q3,q3_routed_tri_68,forensic,560,0.9125,0.6911,0.9484,0.9929,0.0768,0.0375,0.2554,0.0393,0.6381,none
27b,base,damaged_q3,q3_routed_tri_68,generalist,560,0.9125,0.7357,0.9541,0.9946,0.0607,0.0536,0.1786,0.0554,0.6897,none
27b,base,damaged_q3,q3_routed_tri_68,math,560,0.9232,0.6982,0.9527,0.9929,0.0625,0.0304,0.2482,0.05,0.651,none
27b,base,damaged_q3,q3_routed_tri_68,planning,560,0.9464,0.7607,0.9644,0.9875,0.0411,0.0286,0.1804,0.0339,0.7266,none
27b,base,damaged_q3,q3_routed_tri_68,rhetoric,560,0.9107,0.7018,0.949,0.9893,0.0786,0.0304,0.2286,0.0429,0.6517,none
27b,base,damaged_q3,q3_routed_tri_68,spatial,560,0.9143,0.7107,0.9557,0.9911,0.0714,0.0625,0.1786,0.0375,0.6606,none
27b,base,damaged_q3,q3_stability_tri_72,adversarial,560,0.9286,0.7161,0.954,0.9893,0.0571,0.0375,0.2143,0.0571,0.6714,none
27b,base,damaged_q3,q3_stability_tri_72,boundary,560,0.9143,0.7089,0.9508,0.9946,0.0696,0.0339,0.2214,0.0518,0.6609,none
27b,base,damaged_q3,q3_stability_tri_72,coding,560,0.9321,0.7554,0.9567,0.9929,0.0536,0.0286,0.1679,0.0625,0.717,none
27b,base,damaged_q3,q3_stability_tri_72,epistemic,560,0.925,0.6982,0.9551,0.9911,0.0536,0.025,0.2446,0.0375,0.6557,none
