model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_65,low,1400,0.6036,0.4643,0.8225,0.9014,0.0964,0.0379,0.2321,0.395,0.3895,none
27b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_65,medium,1400,0.5521,0.4129,0.7569,0.8679,0.1421,0.0421,0.3093,0.7143,0.3013,none
27b,degraded_instruct,collapsed_q2_edge,stability_first_tri_70,extreme,1400,0.4386,0.2336,0.6525,0.8071,0.2436,0.0664,0.585,1.1471,0.0431,cascade
27b,degraded_instruct,collapsed_q2_edge,stability_first_tri_70,high,1400,0.4929,0.3443,0.6914,0.8307,0.2114,0.0321,0.4064,0.9214,0.1958,none
27b,degraded_instruct,collapsed_q2_edge,stability_first_tri_70,low,1400,0.6586,0.5121,0.8423,0.88,0.0943,0.0243,0.2271,0.3129,0.4452,none
27b,degraded_instruct,collapsed_q2_edge,stability_first_tri_70,medium,1400,0.5993,0.4514,0.7763,0.8729,0.14,0.0414,0.3286,0.6329,0.3432,none
27b,degraded_instruct,damaged_q2,cognitive_structural_25_75,extreme,1400,0.5657,0.3236,0.7331,0.8686,0.175,0.0507,0.5364,0.8779,0.1741,none
27b,degraded_instruct,damaged_q2,cognitive_structural_25_75,high,1400,0.62,0.4557,0.769,0.9021,0.1543,0.0186,0.3693,0.7014,0.3411,none
27b,degraded_instruct,damaged_q2,cognitive_structural_25_75,low,1400,0.7679,0.6093,0.898,0.9471,0.0771,0.0114,0.2079,0.1886,0.5578,none
27b,degraded_instruct,damaged_q2,cognitive_structural_25_75,medium,1400,0.7229,0.5779,0.8457,0.935,0.0986,0.0157,0.265,0.4371,0.5021,none
27b,degraded_instruct,damaged_q2,cyber_structural_25_75,extreme,1400,0.5864,0.3364,0.7433,0.8193,0.1979,0.0529,0.5364,0.715,0.1878,none
27b,degraded_instruct,damaged_q2,cyber_structural_25_75,high,1400,0.6129,0.4471,0.7618,0.8607,0.1629,0.0336,0.3379,0.6743,0.3308,none
